latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,datetime,area_km2
34.06541,-118.54896,367,0.48,0.4,2025/1/7,2040,N21,VIIRS,h,2.0NRT,351.69,165.13,D,2025/1/7 20:40,0.192
34.06738,-118.53856,367,0.48,0.4,2025/1/7,2040,N21,VIIRS,l,2.0NRT,332.89,370.83,D,2025/1/7 20:40,0.192
34.07007,-118.54438,367,0.48,0.4,2025/1/7,2040,N21,VIIRS,h,2.0NRT,362.08,161.41,D,2025/1/7 20:40,0.192
34.07104,-118.53928,341.44,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,307.66,91.21,D,2025/1/7 20:40,0.192
34.06907,-118.54967,298.71,0.48,0.4,2025/1/7,2040,N21,VIIRS,l,2.0NRT,322.92,161.41,D,2025/1/7 20:40,0.192
34.07373,-118.54512,367,0.48,0.4,2025/1/7,2040,N21,VIIRS,h,2.0NRT,334.29,161.41,D,2025/1/7 20:40,0.192
34.07469,-118.54004,334.18,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,294.1,91.21,D,2025/1/7 20:40,0.192
34.06567,-118.52154,335.36,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.19,4,N,2025/1/8 9:02,0.2052
34.06618,-118.52872,328.89,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.95,3.56,N,2025/1/8 9:02,0.2052
34.06645,-118.5324,330.24,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.38,3.56,N,2025/1/8 9:02,0.2052
34.06672,-118.53616,328.66,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.39,3.83,N,2025/1/8 9:02,0.2052
34.06699,-118.5399,325.94,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,284.65,3.83,N,2025/1/8 9:02,0.2052
34.06726,-118.5436,322.49,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,283.73,5.01,N,2025/1/8 9:02,0.2052
34.06785,-118.55176,322.53,0.36,0.57,2025/1/8,902,N21,VIIRS,n,2.0NRT,285.24,12.85,N,2025/1/8 9:02,0.2052
